,loss,accuracy,dice_coef,jacard_coef,val_loss,val_accuracy,val_dice_coef,val_jacard_coef
35,0.0022712652571499348,0.9964219331741333,0.7135726809501648,0.5604221820831299,0.004717099480330944,0.9942578673362732,0.6879372596740723,0.5284758806228638
36,0.001977403648197651,0.9968125224113464,0.7247676849365234,0.5740667581558228,0.004203297197818756,0.9947344064712524,0.7321262955665588,0.581205427646637
37,0.0017797282198444009,0.9971221089363098,0.7332422733306885,0.5846325159072876,0.004433399997651577,0.9945530891418457,0.7495935559272766,0.6028534770011902
38,0.0017192248487845063,0.9972050189971924,0.7380051016807556,0.5906442999839783,0.005361661780625582,0.9937402606010437,0.7541336417198181,0.6083883047103882
39,0.0017927373992279172,0.9971120357513428,0.7394047379493713,0.5923271179199219,0.005990135949105024,0.9934433698654175,0.7688626646995544,0.6275017857551575
40,0.001891545602120459,0.9969741702079773,0.7400843501091003,0.5930915474891663,0.006096780765801668,0.9934438467025757,0.7791873216629028,0.6411731243133545
41,0.0022157549392431974,0.9965245127677917,0.7324146032333374,0.5839937925338745,0.006407610140740871,0.9934119582176208,0.7771961688995361,0.6384896039962769
42,0.0015882813604548573,0.9974176287651062,0.7554889917373657,0.6127030253410339,0.004536679480224848,0.9946327805519104,0.7738675475120544,0.6342148184776306
43,0.001538668293505907,0.9975020289421082,0.7620807886123657,0.6213338375091553,0.004433601628988981,0.9949839115142822,0.7749021649360657,0.635704755783081
44,0.0016088640550151467,0.997370183467865,0.7647383213043213,0.6247129440307617,0.0057547991164028645,0.9936161637306213,0.7709366083145142,0.6304081082344055
45,0.001696793013252318,0.9972232580184937,0.7646162509918213,0.6243759989738464,0.005390993785113096,0.9942321181297302,0.7960337400436401,0.6638139486312866
46,0.001635426189750433,0.9973284006118774,0.7655696868896484,0.6255897283554077,0.00528493570163846,0.9945613145828247,0.7830960154533386,0.6465547680854797
47,0.0014861100353300571,0.9975709319114685,0.7729653716087341,0.6353967189788818,0.0051691667176783085,0.994965672492981,0.7662287354469299,0.624640166759491
48,0.001499240635894239,0.9975863695144653,0.7755682468414307,0.6389029622077942,0.005282503552734852,0.9946948289871216,0.7518322467803955,0.6061998605728149
49,0.0014811893925070763,0.9975972175598145,0.7773715257644653,0.6413032412528992,0.005007508676499128,0.9950399398803711,0.7729339599609375,0.633358895778656
